gauge_id,mean_intensity,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,wet_pc_ug2,for_pc_use,crp_pc_use,ppd_pk_uav,rdd_mk_uav,hdi_ix_cav,DO_P25,WT_p75,Q_p25,daylength_median,daylength_p75,solar_p75
404031284401300_,2.651556568,1216.2,4,-1,76,120,2001,218,0,53,16,473.009,559,899,7.9,20.8,44.31828117,12.32152778,14.02638889,17.5825
404031284403300_,2.448011603,10291.5,6,19,150,88,1613,187,0,69,14,177.923,474,899,9.3,19.6,247.6644058,12.3425,14.00222222,18.03
404031284416160_,2.082706637,624.2,4,627,150,88,1445,161,0,68,7,222.336,456,907,10.1,18,6.350890517,12.68847222,14.06270833,17.8125
404031284416300_,1.90785835,2546.4,5,372,126,82,1417,164,0,75,13,178.099,516,907,9.5,19.9,21.79824877,12.28902778,13.91694444,17.895
404031284416310_,2.238888889,624.2,4,627,150,88,1445,161,0,68,7,222.336,456,907,10.2,16.9,5.583678007,12.03111111,13.76111111,16.575
404071284408030_,3,382.9,4,133,201,68,1902,244,0,56,39,273.762,447,909,8.8,18.6,10.30237389,12.2325,13.83805556,17.32
404081284408040_,1.791911765,2756.4,5,4,169,89,1952,225,0,85,10,116.565,325,909,8.5,18.3,79.18717575,12.21388889,13.90444444,17.24
404101284408300_,1.9,600.1,4,8,77,128,2371,251,0,54,23,288.432,660,909,10.7,7.4,47.53366947,10.05666667,10.65256944,7.925
404121284412020_,2.9,204.8,3,19,132,122,2436,263,0,94,3,291.843,456,907,8.5,18.4,5.386778712,12.25875,13.86972222,17.565
405011285508040_,1.790244291,848.6,4,18,94,134,2065,218,0,72,7,512.277,664,910,8.2,20.7,13.39978456,12.10708333,13.66291667,17.67
405061285512050_,3,8.1,1,15,4,158,1801,177,0,0,9,1163.302,5298,916,10.8,10.4,10.44587564,10.33777778,11.16034722,14.2175
405071285512021_,1.754545455,1367.5,4,46,110,125,2084,214,0,90,2,322.407,1832,916,8.6,21.6,23.55601788,12.28833333,13.75791667,19.47
405071285512040_,3,1835.2,4,9,100,131,2006,204,0,82,2,494.945,2633,916,10.8,10.5,24.65932989,10.34402778,11.06923611,14.01
405081285505031_,0.762824675,5.3,1,511,70,126,2140,212,0,73,6,210.155,1746,897,8.5,18.5,1.429823816,12.32402778,13.80444444,19.45
405081285505035_,1.839921053,49,2,534,70,124,2131,211,0,74,15,111.044,2597,897,8.2,19.7,1.410853863,12.35666667,13.78166667,19.59
405081285511070_,1.15122549,887.1,4,5,51,145,1891,180,0,42,5,1892.979,5747,916,7.3,24.8,11.08316326,12.50805556,13.88944444,19.64
405091285502090_,0.185,1944.5,4,6,142,123,2211,228,0,79,1,369.461,2091,897,8.4,22.1,38.41383553,12.18777778,13.766875,18.22
405091285502120_,2.420833333,1989.7,4,4,139,124,2203,227,0,77,1,385.408,2201,897,8,21.5,46.68394089,12.17027778,13.77583333,18.695
405091285502200_,0.670555556,1649.1,5,1,175,120,2127,234,0,79,2,227.159,2253,897,6.4,22.7,40.45900822,12.31958333,13.85270833,18.58
405091285515010_,1,7115.6,5,1,153,106,2037,220,0,83,4,248.765,1404,910,8.4,21.7,91.44568825,12.1675,13.78527778,18.2125
405091285515070_,1.0675,1756.6,5,26,170,122,2110,231,0,77,3,236.999,2417,897,7.7,21.5,42.03432465,12.3325,13.83444444,18.4
