file_name,latitude,longitude
3424,29.965459,111.356735
3479,29.689218,112.635912
4068,30.394359,113.427483
3450,29.74052,112.764352
3427,29.503051,113.177059
4060,31.086694,113.029547
3467,30.415972,112.858475
3480,30.299189,112.519313
4071,31.736074,110.833152
3435,32.5548899,111.4861982
6412,32.5647,111.4826
4055,32.71694,110.859346
3471,32.185797,109.604925
4046,32.816347,110.777179
3485,30.478143,111.573224
4062,32.787298,110.269339
4073,29.766525,113.854687
3430,32.479431,111.08413
4035,31.658505,113.558856
4045,30.236456,115.418687
4056,33.158044,110.035539
3461,32.584254,111.322581
4061,32.662319,110.789239
2526,30.278016,113.109137
4057,31.054534,112.726799
4044,32.180435,113.39884
3432,31.850714,113.318907
3442,31.82216,112.710238
3462,31.706189,113.357381
4049,30.507143,113.093585
3444,30.725578,112.839824
3429,30.932298,114.664435
3493,32.653896,111.205815
3457,30.479428,114.441717
3453,30.5855806,114.1831827
6244,30.5772,114.216
3482,30.300442,114.134789
3481,30.958605,114.772146
3459,30.663212,114.790216
3469,30.328291,114.606334
3476,30.326834,114.624255
3477,30.169848,114.668405
3478,30.323773,114.629606
6411,30.2403,114.4533
3464,30.71412,114.353979
2527,30.264433,113.791834
2531,30.395714,114.092344
3438,29.77652,109.816955
3447,31.57971,113.115433
4058,30.552122,114.600261
3449,30.510951,114.257402
3454,30.39249,113.423134
3434,29.980468,113.915926
3441,29.634778,114.632684
4067,30.857699,114.364042
3474,29.936945,114.206491
3460,30.287569,108.9049
3484,29.90909,113.688546
4063,32.086108,112.607012
4064,30.554858,112.738881
3458,31.062773,113.791446
3472,30.663265,115.00732
4051,31.645799,112.606746
3428,31.894499,112.146347
3448,30.167878,113.345876
4065,31.724546,113.298941
3489,30.155202,115.252772
2522,32.059363,112.382843
4042,32.36496,112.468554
3470,31.265037,114.468486
3443,30.925216,113.588349
2520,30.775926,113.43734
3446,30.691979,113.943238
4048,29.933344,112.791924
3439,30.926829,113.885347
3437,31.315339,114.439622
2180,31.391125,113.98047
3487,31.170363,115.004703
3491,30.020142,115.315117
3440,31.169278,113.559505
3488,30.441152,111.149919
3490,30.400125,110.542539
3483,31.236873,113.858844
6413,30.9585,111.6822
3422,31.53784,114.381695
6414,30.5712,111.9617
4052,30.231899,109.494461
3451,30.442134,110.377318
2530,29.740766,109.085235
3473,31.032601,111.90805
3431,30.7608061,111.2731883
3426,30.482451,111.459715
6415,30.431,111.4379
3552,28.822488,112.20676
2167,29.4698337,112.1175895
6423,29.5884,111.2985
3495,27.732112,111.241062
3541,29.591,111.879256
3513,29.590311,112.238314
3563,29.634794,112.114893
3517,28.916674,112.1189206
4083,29.484977,109.738754
6249,28.913,112.1176
3526,27.215471,112.885768
